Car Company,Car Model,Style Name,Year,Mileage,Transmission Type,Engine,Fuel Type,Body Type,Price,Link
Toyota,Corolla,LE CVT,2021,39975,Automatic,1.8L Inline-4 Gas,Gas,Sedan,17427.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPMAEXMP231387
Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,2016,127738,Automatic,5.3L V-8 Gas,Gas,Pickup Truck,23985.0,https://www.truecar.com/used-cars-for-sale/listing/1GCUKREC7GF236249
Nissan,Altima,2.5 S FWD,2020,66642,Automatic,2.5L Inline-4 Gas,Gas,Sedan,18250.0,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4BV6LC215262
Ford,Mustang,EcoBoost Premium Fastback,2020,52108,Automatic,2.3L Inline-4 Gas Turbocharged,Gas,Coupe,22990.0,https://www.truecar.com/used-cars-for-sale/listing/1FA6P8THXL5120066
Ram,1500,"SLT Quad Cab 6'4"" Box 2WD",2016,175158,Automatic,3.6L V-6 Gas,Gas,Pickup Truck,11336.0,https://www.truecar.com/used-cars-for-sale/listing/1C6RR6GG4GS299419
Ford,Fusion,SE FWD,2016,116000,Automatic,2.5L Inline-4 Gas,Gas,Sedan,9998.0,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0H72GR331007
Jeep,Cherokee,Limited 4WD,2020,41371,Automatic,3.2L V-6 Gas,Gas,SUV,19500.0,https://www.truecar.com/used-cars-for-sale/listing/1C4PJMDX5LD616607
Nissan,Versa,SV Sedan CVT,2019,71386,Automatic,1.6L Inline-4 Gas,Gas,Sedan,9495.0,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP1KL849260
Dodge,Grand Caravan,SXT,2019,71918,Automatic,3.6L V-6 Gas,Gas,Minivan,16799.0,https://www.truecar.com/used-cars-for-sale/listing/2C4RDGCG9KR747487
Ford,Explorer,XLT 4WD,2020,70880,Automatic,2.3L Inline-4 Gas Turbocharged,Gas,SUV,23609.0,https://www.truecar.com/used-cars-for-sale/listing/1FMSK8DH0LGB54426
Hyundai,Elantra,GLS Sedan Automatic,2013,109306,Automatic,1.8L Inline-4 Gas,Gas,Sedan,8995.0,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE0DH429451
Nissan,Rogue,SL FWD,2020,20104,Automatic,2.5L Inline-4 Gas,Gas,SUV,21999.0,https://www.truecar.com/used-cars-for-sale/listing/5N1AT2MT1LC700023
Chevrolet,Malibu,LT,2021,66415,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,17654.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST7MF027109
Kia,Forte,LXS IVT,2021,24857,Automatic,2.0L Inline-4 Gas,Gas,Sedan,17399.0,https://www.truecar.com/used-cars-for-sale/listing/3KPF24AD9ME403680
Ford,Focus,SE Sedan,2014,122044,Automatic,2.0L Inline-4 Gas,Gas,Sedan,6499.0,https://www.truecar.com/used-cars-for-sale/listing/1FADP3F24EL363386
Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",2020,21608,Automatic,5.7L V-8 Gas,Gas,Pickup Truck,32695.0,https://www.truecar.com/used-cars-for-sale/listing/1C6SRFFT4LN345100
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,58045,Automatic,2.7L V-6 Gas Turbocharged,Gas,Pickup Truck,31590.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EP7KFA83538
Ford,Escape,SE FWD,2019,25210,Automatic,2.0L Inline-4 Gas Turbocharged,Gas,SUV,18997.0,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0G9XKUB33667
Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2018,128235,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,26321.0,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EG2JKD60882
Hyundai,Elantra,SEL 2.0L IVT,2020,64824,Automatic,2.0L Inline-4 Gas,Gas,Sedan,15985.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF5LH547628
Nissan,Rogue,S AWD,2017,119343,Automatic,2.5L Inline-4 Gas,Gas,SUV,11491.0,https://www.truecar.com/used-cars-for-sale/listing/KNMAT2MV3HP510813
Ford,Escape,Titanium 4WD,2013,131820,Automatic,2.0L Inline-4 Gas Turbocharged,Gas,SUV,8500.0,https://www.truecar.com/used-cars-for-sale/listing/1FMCU9J94DUD53967
Toyota,Corolla,LE CVT,2020,35531,Automatic,1.8L Inline-4 Gas,Gas,Sedan,18985.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE4LP058493
Toyota,Prius,Two,2010,162804,Automatic,1.8L Inline-4 Hybrid,Hybrid,Sedan,6900.0,https://www.truecar.com/used-cars-for-sale/listing/JTDKN3DUXA0224306
Toyota,Camry,2014 LE I4 Automatic,2014,193292,Automatic,2.5L Inline-4 Gas,Gas,Sedan,5700.0,https://www.truecar.com/used-cars-for-sale/listing/4T4BF1FK9ER428687
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,60904,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,32091.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E4XLFB36305
Honda,Civic,LX Sedan Automatic,2013,131365,Automatic,1.8L Inline-4 Gas,Gas,Sedan,8995.0,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F58DE022442
Toyota,Corolla,LE CVT,2020,28264,Automatic,1.8L Inline-4 Gas,Gas,Sedan,17969.0,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAE9LJ061118
Hyundai,Elantra,SEL 2.0L IVT,2020,67319,Automatic,2.0L Inline-4 Gas,Gas,Sedan,15200.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF7LH509480
Ford,Escape,SEL FWD,2018,58930,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,16995.0,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0HD6JUB47910
Dodge,Charger,GT RWD,2019,51641,Automatic,3.6L V-6 Gas,Gas,Sedan,24100.0,https://www.truecar.com/used-cars-for-sale/listing/2C3CDXHG8KH561965
Ford,Super Duty F-250,LARIAT Crew Cab 6.75' Box 4WD,2022,26731,Automatic,7.3L V-8 Gas,Gas,Pickup Truck,68971.0,https://www.truecar.com/used-cars-for-sale/listing/1FT7W2BN8NEE37790
Nissan,Versa,SV CVT,2020,69204,Automatic,1.6L Inline-4 Gas,Gas,Sedan,14802.0,https://www.truecar.com/used-cars-for-sale/listing/3N1CN8EV4LL864156
Ford,F-150,XL SuperCrew 5.5' Box 4WD,2020,62221,Automatic,2.7L V-6 Gas Turbocharged,Gas,Pickup Truck,30495.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EP8LKD50307
HUMMER,H2,SUV,2003,148347,Automatic,6.0L V-8 Gas,Gas,SUV,11995.0,https://www.truecar.com/used-cars-for-sale/listing/5GRGN23U83H133801
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,88839,Automatic,2.7L V-6 Gas Turbocharged,Gas,Pickup Truck,28900.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EP4KFD04917
Kia,Optima,LX Automatic,2020,68662,Automatic,2.4L Inline-4 Gas,Gas,Sedan,16991.0,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L33LG381199
Ford,Focus,SE Sedan,2017,114844,Automatic,1.0L Inline-3 Gas Turbocharged,Gas,Sedan,7995.0,https://www.truecar.com/used-cars-for-sale/listing/1FADP3FE8HL337999
Toyota,Corolla,LE CVT,2020,32304,Automatic,1.8L Inline-4 Gas,Gas,Sedan,19600.0,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAE2LJ082828
Toyota,Corolla,LE CVT,2020,62696,Automatic,1.8L Inline-4 Gas,Gas,Sedan,16799.0,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAE6LJ085649
Toyota,Corolla,LE CVT,2020,56765,Automatic,1.8L Inline-4 Gas,Gas,Sedan,17827.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE7LP099460
BMW,X3,3.0i AWD,2006,165081,Automatic,3.0L Inline-6 Gas,Gas,SUV,2495.0,https://www.truecar.com/used-cars-for-sale/listing/WBXPA93466WG78987
Ford,EcoSport,Titanium 4WD,2020,35995,Automatic,2.0L Inline-4 Gas,Gas,SUV,16850.0,https://www.truecar.com/used-cars-for-sale/listing/MAJ6S3KL6LC334877
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2021,69521,Automatic,5.0L V-8 Gas,Gas,Pickup Truck,36500.0,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E58MFA72263
Toyota,Corolla,LE CVT,2020,42829,Automatic,1.8L Inline-4 Gas,Gas,Sedan,18500.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE3LP102998
Chevrolet,Malibu,LT,2020,64916,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,18200.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST0LF103607
Ford,Explorer,Base 4WD,2013,201532,Automatic,3.5L V-6 Gas,Gas,SUV,5995.0,https://www.truecar.com/used-cars-for-sale/listing/1FM5K8B88DGB94268
Toyota,Camry,SE FWD Automatic,2020,63148,Automatic,2.5L Inline-4 Gas,Gas,Sedan,19759.0,https://www.truecar.com/used-cars-for-sale/listing/4T1G11AK6LU902713
Ford,Super Duty F-250,XLT Crew Cab 6.75' Box 4WD,2021,69895,Automatic,6.2L V-8 Gas,Gas,Pickup Truck,41924.0,https://www.truecar.com/used-cars-for-sale/listing/1FT7W2B67MEC67848
Chevrolet,Malibu,LT,2020,63127,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,16999.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST3LF082428
Ford,Focus,SE Sedan,2018,101986,Automatic,2.0L Inline-4 Gas Turbocharged,Gas,Sedan,9994.0,https://www.truecar.com/used-cars-for-sale/listing/1FADP3F21JL225329
Chevrolet,Traverse,LT Cloth with 1LT AWD,2019,109831,Automatic,3.6L V-6 Gas,Gas,SUV,17990.0,https://www.truecar.com/used-cars-for-sale/listing/1GNEVGKW7KJ100117
Honda,CR-V,EX-L FWD,2019,90981,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,20991.0,https://www.truecar.com/used-cars-for-sale/listing/5J6RW1H85KA047411
Ford,Fusion,SE FWD,2014,101780,Automatic,2.5L Inline-4 Gas,Gas,Sedan,9495.0,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0H74ER119089
Hyundai,Elantra,SEL 2.0L IVT,2020,64002,Automatic,2.0L Inline-4 Gas,Gas,Sedan,15099.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LFXLH576798
Toyota,Camry,SE FWD Automatic,2020,35166,Automatic,2.5L Inline-4 Gas,Gas,Sedan,23588.0,https://www.truecar.com/used-cars-for-sale/listing/4T1M11AK5LU916931
Hyundai,Accent,SE Sedan Automatic,2016,96536,Automatic,1.6L Inline-4 Gas,Gas,Sedan,7850.0,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE8GU031873
Nissan,Rogue,S FWD,2016,87161,Automatic,2.5L Inline-4 Gas,Gas,SUV,11984.0,https://www.truecar.com/used-cars-for-sale/listing/JN8AT2MT7GW018633
Toyota,Camry,Hybrid SE,2019,156964,Automatic,2.5L Inline-4 Hybrid,Hybrid,Sedan,17095.0,https://www.truecar.com/used-cars-for-sale/listing/4T1B21HK6KU012336
Kia,Optima,LX Automatic,2020,65836,Automatic,2.4L Inline-4 Gas,Gas,Sedan,15754.0,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L34LG424481
Nissan,Sentra,SV CVT,2019,60360,Automatic,1.8L Inline-4 Gas,Gas,Sedan,13679.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP2KY428585
Chevrolet,Equinox,LT with 2FL FWD,2020,25524,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,18464.0,https://www.truecar.com/used-cars-for-sale/listing/2GNAXJEV2L6102624
Toyota,Corolla,SE CVT,2020,57407,Automatic,2.0L Inline-4 Gas,Gas,Sedan,15786.0,https://www.truecar.com/used-cars-for-sale/listing/JTDS4RCE8LJ002098
Hyundai,Elantra,SEL 2.0L IVT,2020,63477,Automatic,2.0L Inline-4 Gas,Gas,Sedan,17000.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF8LH571406
Kia,Forte,LXS IVT,2020,20128,Automatic,2.0L Inline-4 Gas,Gas,Sedan,18887.0,https://www.truecar.com/used-cars-for-sale/listing/3KPF24ADXLE231402
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,48905,Automatic,2.7L V-6 Gas Turbocharged,Gas,Pickup Truck,33500.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EP9JKF09817
Toyota,Camry,SE FWD Automatic,2020,66869,Automatic,2.5L Inline-4 Gas,Gas,Sedan,19480.0,https://www.truecar.com/used-cars-for-sale/listing/4T1G11AK9LU347689
Toyota,Corolla,LE CVT,2020,47327,Automatic,1.8L Inline-4 Gas,Gas,Sedan,19988.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE0LP031775
Ford,F-150,XLT SuperCrew 6.5' Box 2WD,2019,125650,Automatic,5.0L V-8 Gas Turbocharged,Gas,Pickup Truck,22495.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1C53KFA67824
Hyundai,Elantra,SEL 2.0L IVT,2020,66292,Automatic,2.0L Inline-4 Gas,Gas,Sedan,16200.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF7LH566794
Mercedes-Benz,C-Class,C 300 Sedan RWD,2017,53780,Automatic,2.0L Inline-4 Gas Turbocharged,Gas,Sedan,20000.0,https://www.truecar.com/used-cars-for-sale/listing/55SWF4JB8HU184731
Chevrolet,Cruze,LT with 1LT Automatic,2014,81862,Automatic,1.4L Inline-4 Gas Turbocharged,Gas,Sedan,8499.0,https://www.truecar.com/used-cars-for-sale/listing/1G1PC5SB9E7348968
Honda,Accord,LX 1.5T CVT,2020,32866,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,21997.0,https://www.truecar.com/used-cars-for-sale/listing/1HGCV1F11LA012940
Toyota,Camry,XLE I4 Automatic,2018,14870,Automatic,2.5L Inline-4 Gas,Gas,Sedan,18500.0,https://www.truecar.com/used-cars-for-sale/listing/4T1B11HK4JU650439
Jeep,Wrangler,Unlimited Sahara High Altitude,2021,42082,Automatic,2.0L Inline-4 Gas Turbocharged,Gas,SUV,38677.0,https://www.truecar.com/used-cars-for-sale/listing/1C4HJXEN3MW551829
Toyota,Camry,SE FWD Automatic,2020,39879,Automatic,2.5L Inline-4 Gas,Gas,Sedan,20935.0,https://www.truecar.com/used-cars-for-sale/listing/4T1G11AK9LU922289
Ford,Super Duty F-250,Limited 4WD Crew Cab 6.75' Box,2019,55590,Automatic,6.7L V-8 Diesel Turbocharged,Diesel,Pickup Truck,63311.0,https://www.truecar.com/used-cars-for-sale/listing/1FT7W2BT1KEC77438
Nissan,Altima,2.5 S,2015,95570,Automatic,2.5L Inline-4 Gas,Gas,Sedan,10995.0,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP1FC450245
Toyota,Corolla,LE CVT,2019,88281,Automatic,1.8L Inline-4 Gas,Gas,Sedan,13000.0,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE0KP949851
Nissan,Altima,2.5 S,2015,161185,Automatic,2.5L Inline-4 Gas,Gas,Sedan,7600.0,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP7FN341745
Chrysler,Voyager,LXI FWD,2020,62858,Automatic,3.6L V-6 Gas,Gas,Minivan,16999.0,https://www.truecar.com/used-cars-for-sale/listing/2C4RC1DG0LR257438
Toyota,Tacoma,SR5 Double Cab 5' Bed V6 4WD Automatic,2017,75571,Automatic,3.5L V-6 Gas,Gas,Pickup Truck,27000.0,https://www.truecar.com/used-cars-for-sale/listing/5TFCZ5AN3HX061615
Ford,Focus,SE Sedan,2012,113838,Automatic,2.0L Inline-4 Gas,Gas,Sedan,4995.0,https://www.truecar.com/used-cars-for-sale/listing/1FAHP3F29CL417568
Ford,Explorer,XLT FWD,2017,101538,Automatic,3.5L V-6 Gas,Gas,SUV,18228.0,https://www.truecar.com/used-cars-for-sale/listing/1FM5K7D84HGD86672
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,72999,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,32000.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E4XKKE09605
Chevrolet,Malibu,LT,2021,24581,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,20852.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST5MF012222
Hyundai,Elantra,SEL 2.0L IVT,2020,70641,Automatic,2.0L Inline-4 Gas,Gas,Sedan,15711.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF3LH575847
Hyundai,Elantra,SEL 2.0L IVT,2020,64198,Automatic,2.0L Inline-4 Gas,Gas,Sedan,16000.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF8LH535120
Ford,Super Duty F-250,XL 4WD Crew Cab 6.75' Box,2019,157490,Automatic,6.2L V-8 Gas,Gas,Pickup Truck,26995.0,https://www.truecar.com/used-cars-for-sale/listing/1FT7W2B65KEE57029
Kia,Forte,LXS IVT,2021,41386,Automatic,2.0L Inline-4 Gas,Gas,Sedan,16888.0,https://www.truecar.com/used-cars-for-sale/listing/3KPF24AD3ME322822
BMW,3 Series,328i Sedan RWD (SULEV),2015,49267,Automatic,2.0L Inline-4 Gas Turbocharged,Gas,Sedan,14975.0,https://www.truecar.com/used-cars-for-sale/listing/WBA3C1C53FP852342
Ford,Fusion,SE FWD,2020,32767,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,17999.0,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0HD1LR110059
Chevrolet,Malibu,LT,2020,69652,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,17083.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST4LF064911
Honda,Civic,LX Sedan CVT,2020,10211,Automatic,2.0L Inline-4 Gas,Gas,Sedan,17995.0,https://www.truecar.com/used-cars-for-sale/listing/19XFC2F67LE018970
Toyota,Corolla,LE CVT,2021,34760,Automatic,1.8L Inline-4 Gas,Gas,Sedan,20000.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPMAEXMP246827
Ford,F-150,Limited SuperCrew 5.5' Box 4WD,2013,74631,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,24323.0,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1ET2DFD83086
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,70950,Automatic,5.0L V-8 Gas,Gas,Pickup Truck,30024.0,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E59KFC58262
Chevrolet,Malibu,LT,2020,66554,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,16712.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5STXLF064573
Toyota,Corolla,LE CVT,2021,24526,Automatic,1.8L Inline-4 Gas,Gas,Sedan,19499.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPMAE1MP233187
Hyundai,Elantra,SEL 2.0L IVT,2020,68723,Automatic,2.0L Inline-4 Gas,Gas,Sedan,17466.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF0LH583940
Kia,Soul,S IVT,2020,59453,Automatic,2.0L Inline-4 Gas,Gas,Hatchback,16500.0,https://www.truecar.com/used-cars-for-sale/listing/KNDJ23AU6L7058613
